Data preparation is done in 101ms
Calculations are done in 153ms
Protecting 
X= 120.81, Area= 823.972
X= 135.26, Area= 51.044
X= 141.4, Area= 128.617
X= 270.05, Area= 522.357
X= 292.81, Area= 847.990
X= 91.91, Area= 1177.636
X= 98.05, Area= 596.603
X= 30.51, Area= 1059.778
X= 77.46, Area= 659.119
X= 83.6, Area= 823.972
X= 16.06, Area= 734.554
X= 24.37, Area= 1059.778
X= 241.15, Area= 124.044
X= 255.6, Area= 51.396
X= 112.5, Area= 1248.581
X= 126.95, Area= 1045.867
X= 106.36, Area= 1248.581
X= 220.11, Area= 588.166
X= 298.95, Area= 847.990
X= 170.3, Area= 70.237
X= 184.75, Area= 523.445
X= 199.2, Area= 1012.528
X= 235.01, Area= 58.086
X= 205.5, Area= 1650.000
Exposed 
X= 261.66, Area= 0.000
X= 176.36, Area= 19.057
X= 247.21, Area= 118.720
X= 241.07, Area= 0.000
X= 147.46, Area= 176.872
X= 104.11, Area= 0.000
X= 126.87, Area= 1.701
X= 305.01, Area= 808.559
X= 83.52, Area= 45.630
X= 232.31, Area= 550.969
X= 298.87, Area= 2.955
X= 205.26, Area= 0.000
X= 22.12, Area= 0.000
X= 219.8, Area= 1071.660
X= 276.11, Area= 316.827
X= 133.01, Area= 1004.007
X= 36.57, Area= 1023.332
X= 190.81, Area= 37.233
X= 97.97, Area= 235.786
X= 118.56, Area= 423.386
X= 89.66, Area= 38.051
X= 112.42, Area= 2.025
X= 30.43, Area= 3.325
